ID,depth,age,Abiskomyia,Ablabesmyia,Acamptocladius,Apedilum spp.,Brillia,Cardiocladius spp.,Chaetocladius spp.,Chironomus spp.,Cladopelma spp.,Cladotanytarsus spp.,Constempellina,Corynocera ambigua-type,Corynocera oliveri-type,Corynoneura Thienemanniella spp.,Cricotopus Orthocladius spp.,Cryptochironomus,Cryptotendipes,Cyphomella Harnischia Paracladopelma spp.,Derotanypus,Diamesa spp.,Dicrotendipes spp.,Doithrix Pseudorthocladius spp.,Einfeldia spp.,Endochironomus spp.,Eukieffferiella Tvetenia spp.,Georthocladius spp,Glyptotendipes spp.,Heterotanytarsus,Heterotrissocladius spp,Hydrobaenus Oliveridia spp.,Labrundinia,Lasiodiamesa,Lauterborniella Zavreliella spp.,Limnophyes Paralimnophyes,Mesocricotopus,Metriocnemus spp.,Micropsectra spp.,Microtendipes spp.,Monodiamesa,Nanocladius spp.,Nilothauma,Omisus,Pagastiella,Parachironomus spp.,Paracladius,Paracricotopus,Parakiefferiella spp.,Paralauterborniella spp.,Parametriocnemus,Parasmittia,Paratendipes spp.,Pentaneurini other,Phaenopsectra spp.,Polypedilum spp.,Potthastia spp.,Procladius,Protanytpus ,Psectrocladius Allopsectrocladius Mesopsectrocladius spp.,Psectrocladius Monopsectrocladius,Psectrocladius Psectrocladius spp.,Pseudochironomus,Pseudosmittia Smittia spp.,Pseudodiamesa,Rheocricotopus spp.,Sergentia spp.,Stempellina,Stempellinella Zavrelia spp,Stictochironomus spp.,Symposiocladius lignicola,Synorthocladius,Tanypus,Tanytarsina other,Thienemannimyia type,Tribelos,Xenochironomus,Zalutschia spp.,Zalutschia zalutschicola,Zavrelimyia type
23,60,1.3797,6.81818,0,0,0,0,0,0,7.95455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27273,0,0,0,0,0,0,0,4.54545,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,4.54545,0,0,0,4.54545,0,0,0,0,18.1818,0,0,3.40909,0,0,0,17.0455,0,0,0,5.68182,0,0
24,65,1.49939,2.39521,0,0,0,0,0,0,7.18563,0,0,0,0,2.39521,0,1.1976,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1976,0,0,0,0,0,0,0,2.39521,0,0,0,0,0,0,0,35.3293,0,0,0,0,0,0,0,0,0,0,3.59281,0.598802,0,0,1.79641,0,0,0,0,17.9641,0,0,0,0,0,0,22.1557,0,0,0,1.79641,0,0
25,70,1.61909,0,0,0,0,0,0,0,0.597015,0,0,0,0,54.4776,0,0.447761,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7313,0,0.149254,0,0,0,0,0,0,0,0,2.53731,0,0,0,0.298507,0,0,0,0,5.52239,0,0,0,0,0,0,10.8955,0,0,0,0.298507,0,0
26,75,1.71031,5.40541,0,0,0,0,0,0,10.8108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.10811,0,0,10.8108,0,0,4.05405,0,0,0,32.4324,0,0,0,4.05405,0,0
27,80,1.78932,17.8344,0,0,0,0,0,0,4.4586,0,0,0,0,1.27389,0,1.91083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73248,0,0,0,0,0,0,0,26.1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636943,0,1.91083,0,0,22.9299,0,0,0,0,0,0,14.0127,0,0,0,3.18471,0,0
28,85,1.86834,25,0,0,0,0,0,0,9.25926,0,0,0,0,1.85185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85185,0,0,0,0,0,0,0,16.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85185,0,0,17.5926,0,0,0,0,0,0,24.0741,0,0,0,1.85185,0,0
29,90,1.94735,3.19149,0,0,0,0,0,0,11.7021,0,0,0,0,2.12766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19149,0,0,28.7234,0,0,4.25532,0,0,0,0,0,0,0,6.38298,0,0
30,95,2.02637,29.0909,0,0,0,0,0,0,3.63636,0,0,0,0,0,0,0.363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363636,0,0,0,0,0,0,0,4.36364,0,0,0,0,0,0,0,28.7273,0,0,0,0,0,0,0,0,0,0,0,0.363636,0,0,0,0,0.363636,0,0,12.7273,0,0,5.09091,0,0,0,6.18182,0,0,0,8.72727,0,0
31,100,2.10538,10.7143,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28571,0,0,0,0,0,0,0,38.5714,0,0,0,0,0,0,0,0,0,0,0,1.42857,0,0,0,0,0,0,0,17.1429,0,0,5.71429,0,0,0,4.28571,0,0,0,7.85714,0,0
32,110,2.26341,1.9802,0,0,0,0,0,0,9.90099,0,0,0,0,0,1.9802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990099,0,0,0,0,0,0,0,1.9802,0,0,0,0,0,0,0,41.5842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990099,0,0,24.7525,0,0,3.9604,0,0,0,3.9604,0,0,0,7.92079,0,0
